ID,Age,Field,Work_Exp,Position,Prior_DS,Excel,Working,Coding,Programming,Track,Day,Percentage
WiT2023010018,26 to 35,Engineering,1-2 years,Junior level,No,5,No,,,DS,11,0.916666667
WiT2023010136,18 to 25,Science,5 years and above,Not working.,Yes,5,No,,,DS,10,0.833333333
WiT2023010251,18 to 25,Science,less than 1 year,Not working.,Yes,7,No,,,DS,12,1
WiT2023010187,18 to 25,Science,Not an employee,Not working.,Yes,7,No,,,DS,7,0.583333333
WiT2023010073,18 to 25,Science,3-5 years,Junior level,Maybe,8,No,,,DS,11,0.916666667
WiT2023010180,36 to 45,Engineering,5 years and above,Senior level,Yes,6,Yes,,,DS,12,1
WiT2023010077,18 to 25,Engineering,Not an employee,Not working.,No,5,No,,,DS,10,0.833333333
WiT2023010228,18 to 25,Engineering,1-2 years,Not working.,Maybe,7,No,,,DS,11,0.916666667
WiT2023010249,26 to 35,Others,1-2 years,Not working.,Maybe,6,Yes,,,DS,11,0.916666667
WiT2023010158,46 and above,Engineering,5 years and above,Junior level,Yes,5,Yes,,,DS,12,1
WiT2023010067,26 to 35,Art,5 years and above,Not working.,Yes,7,No,,,DS,6,0.5
WiT2023010049,26 to 35,Science,less than 1 year,Not working.,Maybe,4,No,,,DS,11,0.916666667
WiT2023010103,26 to 35,Engineering,3-5 years,Not working.,No,5,No,,,DS,9,0.75
WiT2023010193,26 to 35,Engineering,3-5 years,Not working.,Maybe,6,No,,,DS,10,0.833333333
WiT2023010220,26 to 35,Engineering,5 years and above,Not working.,Maybe,6,No,,,DS,11,0.916666667
WiT2023010146,26 to 35,Science,5 years and above,Not working.,Yes,10,No,,,DS,0,0
WiT2023010089,26 to 35,Engineering,3-5 years,Not working.,Maybe,4,No,,,DS,0,0
WiT2023010040,36 to 45,Engineering,5 years and above,Not working.,No,6,No,,,DS,10,0.833333333
WiT2023010200,18 to 25,Others,Not an employee,Not working.,No,5,No,,,DS,6,0.5
WiT2023010157,36 to 45,Engineering,5 years and above,Not working.,Maybe,7,No,,,DS,12,1
WiT2023010006,18 to 25,Engineering,less than 1 year,Not working.,,,No,2 to 3 years,6,SE,9,0.818181818
WiT2023010009,18 to 25,Science,1-2 years,Senior level,,,Yes,2 to 3 years,7,SE,11,1
WiT2023010011,18 to 25,Science,1-2 years,Not working.,,,No,1 to 2 years,6,SE,10,0.909090909
WiT2023010024,36 to 45,Engineering,5 years and above,Senior level,,,Yes,2 to 3 years,6,SE,7,0.636363636
WiT2023010046,18 to 25,Science,1-2 years,Not working.,,,No,more than 3 years,5,SE,0,0
WiT2023010070,26 to 35,Engineering,3-5 years,Senior level,,,No,more than 3 years,7,SE,9,0.818181818
WiT2023010071,26 to 35,Science,3-5 years,Senior level,,,Yes,1 to 2 years,2,SE,2,0.181818182
WiT2023010081,26 to 35,Engineering,Not an employee,Not working.,,,No,less than 1 year,2,SE,0,0
WiT2023010091,18 to 25,Science,1-2 years,Junior level,,,Yes,less than 1 year,3,SE,10,0.909090909
WiT2023010095,26 to 35,Engineering,3-5 years,Not working.,,,No,less than 1 year,4,SE,10,0.909090909
WiT2023010104,18 to 25,Others,Not an employee,Not working.,,,No,less than 1 year,5,SE,6,0.545454545
WiT2023010108,26 to 35,Others,Not an employee,Not working.,,,Yes,2 to 3 years,4,SE,11,1
WiT2023010113,26 to 35,Engineering,less than 1 year,Not working.,,,No,1 to 2 years,3,SE,4,0.363636364
WiT2023010121,18 to 25,Engineering,1-2 years,Teacher,,,Yes,less than 1 year,1,SE,1,0.090909091
WiT2023010134,18 to 25,Science,Not an employee,Not working.,,,No,2 to 3 years,6,SE,11,1
WiT2023010175,18 to 25,Science,Not an employee,Not working.,,,No,1 to 2 years,5,SE,10,0.909090909
WiT2023010206,36 to 45,Engineering,1-2 years,Not working.,,,No,1 to 2 years,3,SE,11,1
WiT2023010218,26 to 35,Science,5 years and above,Not working.,,,Yes,2 to 3 years,5,SE,8,0.727272727
