Student ID,Age,Location,Highest Education,Entranced,Specilization in High School,Current Job/School
GED202402_01,18,Thailand (Others),Pass 9th Grade,Yes,Biology,???????????????????
GED202402_02,17,Mandalay,Pass 10th Grade,No,????-? (Biology),NGM
GED202402_03,22 years old ,Yangon,Pass 10th Grade,No,English major (First year),Freelance Teacher
GED202402_04,19,Mon,Other,No,??????,????
GED202402_05,16,Yangon,Pass 10th Grade,No,I passed 10th Grade,I'm learning Computer basic course
GED202402_06,21,Thailand (Mae Sot),Pass 10th Grade,Yes,Bio,Waitress in Mae Sot
GED202402_07,18,Yangon,Pass 9th Grade,Yes,Biology,None
GED202402_08,19,Yangon,Pass 10th Grade,Yes,science,I haven't joined university
GED202402_09,19,Mon,Pass 9th Grade,Yes,Bio,??????
GED202402_10,20,Mandalay,Pass University First Year,No,Bio,Yadanarbon University
GED202402_11,18,Kachin,Pass 10th Grade,Yes,Not yet,No job or University
GED202402_12,23,Kayin,Pass University First Year,Yes,???? ?,Field Assistant
GED202402_13,17,Yangon,Pass 8th Grade,No,I havn't attend yet,Pre ged from online class
GED202402_14,17,Shan,Pass 9th Grade,Yes,Biology,School
GED202402_15,18,Mandalay,Pass 9th Grade,Yes,Bio,Mandalay Federal School
GED202402_16,16,Bago,Pass 8th Grade,No,??????,Sacred Heart Private Middle School
GED202402_17,16,Sagaing,Pass 9th Grade,Yes,BiO,BEA ????? English Course ???????????????
GED202402_18,17,Yangon,Pass 8th Grade,Yes,???????,I am not currently attending any school.
GED202402_19,16,Mandalay,Pass 10th Grade,Yes,No,No
GED202402_20,20,Yangon,Pass 10th Grade,No,Economics,Yoma Bank Head Office
GED202402_21,17,Yangon,Pass 7th Grade,No,.,Japanese language N2(JLPT N4passed)
GED202402_22,19,Thailand (Others),Pass 10th Grade,No,No have,Volunteer
GED202402_23,17,Mandalay,Pass 9th Grade,No,I ' never been there.,Part time job at a glasses store.
GED202402_24,24,Shan,Diploma Graduate,Yes,Economy,Baking
GED202402_25,22,Magway,Pass University First Year,Yes,?????????,University of the People(online)
GED202402_26,17,Yangon,Pass 7th Grade,No,No,No
GED202402_27,21,Kachin,Pass University First Year,Yes,Science,"Completed 1st year in Technological University, but postponed it since 2020."
GED202402_28,22,Thailand (Others),Pass 10th Grade,Yes,Biology,Computer University Thaton(First year)
GED202402_29,18,Mandalay,Pass 10th Grade,Yes,Bio,????
GED202402_30,21,Yangon,Pass University First Year,No,Economic,West yangon university
GED202402_31,19 years ,Magway,Pass 9th Grade,No,??????,??????
GED202402_32,16,Yangon,Pass 9th Grade,No,Biology,-
GED202402_33,17,Sagaing,Pass 10th Grade,No,Biology,Federal school
GED202402_34,18,Yangon,Pass 10th Grade,No,Bio,Volunteering teacher
GED202402_35,20,Yangon,Pass 9th Grade,No,Biology,None of those
GED202402_36,18,Yangon,Pass 9th Grade,Yes,Biology,Nothing
GED202402_37,19,Sagaing,Other,No,No,No
GED202402_38,15,Yangon,Pass 9th Grade,Yes,.,Pathfinder Institute Myanmar
GED202402_39,17,Mandalay,Pass 8th Grade,Yes,G12 ???????????????????,?????? online ???? Free class ????? G10 ??????????????
GED202402_40,18,Kayin,Pass 8th Grade,No,Haven't yet,Waiter in restaurant
GED202402_41,19,Mandalay,Pass 10th Grade,Yes,Biology,??????
GED202402_42,22,Kayin,Diploma Graduate,No,???,Education Gathering Group academic program
