ID,Career_goals
WiT2023010018,Getting an oversea job in the new industry
Volunteer,Switching to a new company or industry
WiT2023010073,Getting an oversea job in the same industry
WiT2023010228,Getting an oversea job in the same industry
Volunteer,Advancing within my current company
WiT2023010040,Getting an oversea job in the new industry
Volunteer,Getting an oversea job in the same industry
WiT2023010103,Switching to a new company or industry
WiT2023010049,Getting an oversea job in the new industry
WiT2023010251,Starting my own business or freelancing
WiT2023010157,Starting my own business or freelancing
WiT2023010077,Starting my own business or freelancing
Volunteer,Getting an oversea job in the new industry
Volunteer,Getting an oversea job in the same industry
WiT2023010249,Starting my own business or freelancing
WiT2023010180,Advancing within my current company
Volunteer,Getting an oversea job in the same industry
WiT2023010158,Starting my own business or freelancing
Volunteer,Getting an oversea job in the same industry
WiT2023010220,Switching to a new company or industry
Volunteer,Getting an oversea job in the same industry
Volunteer,Getting an oversea job in the same industry
