ID,DA_pre,NLP_pre,Cyber_pre,VersionControl_pre,Tableau_pre,Python_pre,Cloud_pre,DA_post,NLP_post,Cyber_post,VersionControl_post,Tableau_post,Python_post,Cloud_post
WiT2023010193,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,
WiT2023010067,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,
WiT2023010077,3.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,6.0,5.0
WiT2023010018,4.0,4.0,4.0,1.0,1.0,5.0,3.0,4.0,7.0,8.0,7.0,8.0,8.0,7.0
WiT2023010103,3.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,3.0,3.0,2.0,5.0,4.0,1.0
WiT2023010180,5.0,2.0,6.0,2.0,3.0,3.0,4.0,9.0,6.0,8.0,8.0,7.0,7.0,6.0
WiT2023010146,5.0,1.0,9.0,1.0,6.0,3.0,10.0,,,,,,,
WiT2023010073,7.0,6.0,3.0,1.0,1.0,1.0,1.0,8.0,9.0,6.0,7.0,7.0,8.0,8.0
WiT2023010040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,2.0,3.0,1.0,2.0
WiT2023010049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,6.0,6.0,6.0,5.0
WiT2023010200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
WIT203010220,3.0,1.0,4.0,1.0,1.0,1.0,2.0,,,,,,,
WiT2023010136,4.0,1.0,1.0,1.0,1.0,5.0,3.0,,,,,,,
WiT2023010187,7.0,5.0,3.0,1.0,2.0,3.0,7.0,,,,,,,
WiT2023010157,2.0,2.0,2.0,1.0,3.0,3.0,2.0,8.0,7.0,7.0,8.0,9.0,9.0,7.0
WiT2023010158,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,3.0,5.0,3.0
WiT2023010249,1.0,3.0,4.0,2.0,1.0,1.0,4.0,6.0,7.0,6.0,4.0,7.0,7.0,5.0
WiT2023010089,1.0,1.0,5.0,1.0,1.0,1.0,1.0,,,,,,,
WiT2023010228,6.0,7.0,4.0,4.0,5.0,4.0,4.0,8.0,5.0,6.0,6.0,6.0,5.0,5.0
WiT2023010251,3.0,4.0,3.0,2.0,1.0,1.0,1.0,8.0,7.0,6.0,6.0,7.0,7.0,7.0
Volunteer,,,,,,,,7.0,3.0,5.0,5.0,5.0,5.0,5.0
Volunteer,,,,,,,,6.0,2.0,8.0,2.0,8.0,8.0,2.0
Volunteer,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Volunteer,,,,,,,,8.0,2.0,3.0,4.0,9.0,7.0,2.0
Volunteer,,,,,,,,8.0,7.0,7.0,7.0,5.0,7.0,7.0
Volunteer,,,,,,,,6.0,8.0,5.0,5.0,4.0,7.0,4.0
Volunteer,,,,,,,,8.0,3.0,6.0,5.0,5.0,5.0,3.0
Volunteer,,,,,,,,2.0,1.0,6.0,1.0,6.0,2.0,1.0
Volunteer,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WiT2023010220,,,,,,,,5.0,4.0,8.0,4.0,5.0,7.0,4.0
