ID,DA_tools
WiT2023010193,Excel
WiT2023010067,Excel
WiT2023010067,R
WiT2023010067,Power BI
WiT2023010067,Google Data Studio
WiT2023010077,Python
WiT2023010018,Excel
WiT2023010018,Python
WiT2023010103,Excel
WiT2023010103,Google Data Studio
WiT2023010180,Excel
WiT2023010146,Excel
WiT2023010146,Tableau
WiT2023010146,Google Data Studio
WiT2023010073,Excel
WiT2023010073,Power BI
WiT2023010073,Google Data Studio
WiT2023010040,Excel
WiT2023010049,Excel
WiT2023010200,Excel
WIT203010220,Excel
WiT2023010136,Python
WiT2023010136,R
WiT2023010187,Excel
WiT2023010187,Power BI
WiT2023010157,Excel
WiT2023010158,Excel
WiT2023010249,Excel
WiT2023010089,Excel
WiT2023010228,Excel
WiT2023010228,Tableau
WiT2023010251,Excel
