ID,Present,Rate
MMDT2024.001,12,100%
mmdt2024.002,12,100%
MMDT2024.003,12,100%
mmdt2024.004,10,83%
mmdt2024.005,6,50%
MMDT2024.006,9,75%
mmdt2024.007,12,100%
mmdt2024.008,11,92%
mmdt2024.009,11,92%
mmdt2024.010,11,92%
MMDT2024.011,12,100%
mmdt2024.012,6,50%
mmdt2024.013,5,42%
MMDT2024.014,12,100%
mmdt2024.015,12,100%
MMDT2024.017,9,75%
mmdt2024.018,5,42%
MMDT2024.019,12,100%
mmdt2024.020,2,17%
MMDT2024.021,12,100%
MMDT2024.022,12,100%
mmdt2024.023,12,100%
MMDT2024.024,12,100%
mmdt2024.025,11,92%
mmdt2024.026,12,100%
MMDT2024.027,12,100%
MMDT2024.028,6,50%
mmdt2024.029,10,83%
MMDT2024.030,12,100%
MMDT2024.031,12,100%
mmdt2024.032,11,92%
mmdt2024.033,5,42%
mmdt2024.034,12,100%
MMDT2024.035,10,83%
MMDT2024.036,11,92%
MMDT2024.037,12,100%
MMDT2024.038,11,92%
MMDT2024.039,11,92%
MMDT2024.040,12,100%
MMDT2024.041,10,83%
MMDT2024.042,12,100%
MMDT2024.043,12,100%
MMDT2024.044,11,92%
MMDT2024.045,10,83%
mmdt2024.046,12,100%
MMDT2024.047,4,33%
MMDT2024.048,12,100%
MMDT2024.049,12,100%
mmdt2024.050,12,100%
mmdt2024.052,5,42%
MMDT2024.053,10,83%
mmdt2024.054,12,100%
MMDT2024.055,11,92%
mmdt2024.056,3,25%
mmdt2024.057,12,100%
mmdt2024.058,1,8%
mmdt2024.059,2,17%
mmdt2024.060,11,92%
mmdt2024.061,3,25%
mmdt2024.062,10,83%
MMDT2024.063,11,92%
mmdt2024.064,12,100%
MMDT2024.065,12,100%
MMDT2024.066,3,25%
mmdt2024.067,12,100%
MMDT2024.068,12,100%
MMDT2024.069,12,100%
MMDT2024.070,12,100%
mmdt2024.071,5,42%
mmdt2024.072,12,100%
MMDT2024.073,12,100%
MMDT2024.074,8,67%
mmdt2024.075,10,83%
MMDT2024.076,12,100%
MMDT2024.077,9,75%
MMDT2024.078,11,92%
MMDT2024.079,12,100%
MMDT2024.080,4,33%
MMDT2024.081,12,100%
mmdt2024.083,12,100%
MMDT2024.084,3,25%
MMDT2024.086,12,100%
MMDT2024.087,12,100%
mmdt2024.088,4,33%
mmdt2024.089,12,100%
MMDT2024.090,11,92%
MMDT2024.091,11,92%
mmdt2024.092,4,33%
mmdt2024.093,12,100%
mmdt2024.094,12,100%
mmdt2024.095,11,92%
MMDT2024.096,0,0%
mmdt2024.098,12,100%
mmdt2024.099,12,100%
MMDT2024.100,9,75%
